Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Cable & Satellite,"Cincinnati, Ohio",1/7/08,1430602
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2/7/12,1137789
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",30/6/64,89800
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",29/7/15,832988
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",26/6/02,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",12/3/15,4127
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",20/3/15,1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",30/9/82,91440
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1/7/94,92380
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",30/9/82,93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",7/10/98,791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",19/11/08,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",31/5/88,750556
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",25/3/03,849399
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",18/11/15,1601712
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",16/3/17,883241
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",31/12/86,96021
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/76,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/11,1385157
TGNA,"Tegna, Inc.",Consumer Discretionary,Publishing,"McLean, Virginia",31/12/75,39899
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",1/10/07,816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",27/9/07,50104
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/78,217346
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",23/9/16,711404
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",21/8/02,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",21/6/00,98246
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/9/85,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",30/4/89,320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",2/1/08,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/1/14,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",3/6/16,1260221
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",29/10/13,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",21/12/11,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,"New York, New York",1/7/13,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,"New York, New York",18/9/15,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",7/3/16,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/4/16,1403568
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1/5/14,1336917
UAA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",25/3/16,1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",3/9/15,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",1/7/94,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",22/7/02,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/9/14,1067701
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/9/14,352915
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1/3/94,5513
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",30/6/79,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",12/2/07,203527
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",4/3/09,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",1/2/06,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",8/10/15,1442145
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,"New York, New York",30/11/83,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",23/9/13,875320
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",21/12/09,1403161
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",30/6/99,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/8/82,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/79,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,"Burbank, California",30/6/76,1001039
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/08,783325
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",30/6/76,72971
HCN,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",30/1/09,766704
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",1/7/09,106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WRK,WestRock Company,Materials,Paper Packaging,"Richmond, Virginia",,1636023
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",,865436
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/3/75,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",5/1/16,1140536
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",14/11/08,1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",8/11/99,743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",1/11/11,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",8/12/99,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",6/10/97,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",7/8/01,1136869
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",21/6/13,1555280
